Project Name,Directorate,Project Classification,Project Type,Wellbeing Domain/ Government Priority,2021-2022 Budgeted Financing ($'000),2022-2023 Budgeted Financing ($'000),2023-2024 Budgeted Financing ($'000),2024-2025 Budgeted Financing ($'000),2025-2026 Budgeted Financing ($'000),Total Budgeted Financing ($'000)
General Works Provision,Central Agency,Infrastructure provisions,Other,Other,0,"74,000","80,000","80,000","100,000","334,000"
Cat registration,Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,216,0,0,0,0,216
ACT NoWaste Food Organics Garden Organics facility,Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,104,416,0,0,0,520
2020-21 Better Infrastructure Fund,ACT Health Directorate,Better Infrastructure Fund,Health services,Health,"1,697","1,432","1,468","1,505","1,543","7,645"
2020-21 Better Infrastructure Fund,Canberra Health Services,Better Infrastructure Fund,Health services,Health,"4,579","4,051","4,409","4,520","4,658","22,217"
2020-21 Better Infrastructure Fund,"Chief Minister, Treasury and Economic Development Directorate",Better Infrastructure Fund,Economic growth,Economy,"11,690","8,393","8,603","8,818","9,038","46,542"
2020-21 Better Infrastructure Fund,Education Directorate,Better Infrastructure Fund,Education,Education and life-long learning,589,0,0,0,0,589
ACT Corrective Services Information Management Solution,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"2,145",0,0,0,0,"2,145"
ACT Emergency Services Agency - ACT Ambulance Service - Modernised and Sustainable Service Plan (MSSP),Justice and Community Safety Directorate,New Works,Community services,Safety,390,250,0,0,0,640
ACT Government office accommodation consolidation,"Chief Minister, Treasury and Economic Development Directorate",New Works,Economic growth,Governance and institution,"7,013",0,0,0,0,"7,013"
ACT Health Core IT Systems to align with the Digital Health Strategy,ACT Health Directorate,Works-in-progress,Health services,Health,"30,390","33,356","5,009","5,009",0,"73,764"
ACT Land Titles system modernisation,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,44,0,0,0,0,44
ACT Law Courts upgrades,Justice and Community Safety Directorate,New Works,Community services,Safety,350,0,0,0,0,350
ACT Legislation Register Replacement,Justice and Community Safety Directorate,Works-in-progress,Community services,Governance and institution,100,0,0,0,0,100
ACT NoWaste Weighbridge system replacement,Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,351,0,0,0,0,351
ACT Policing’s Traffic Operations Centre - Accommodation Solution,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"4,899","2,141",0,0,0,"7,040"
Acton Waterfront Parkland,City Renewal Authority,New Works,Urban infrastructure,Access and connectivity,999,"1,801",0,0,0,"2,800"
Address Relocation Funding Shortfall for ACAT,Justice and Community Safety Directorate,New Works,Community services,Governance and institution,"5,473",764,0,0,0,"6,237"
Addressing Growth in the City and Gateway,Education Directorate,Works-in-progress,Education,Education and life-long learning,55,0,0,0,0,55
Alexander Maconochie Centre Detainee industries and activities enforcement project,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,116,0,0,0,0,116
Amaroo School Senior Campus Expansion,Education Directorate,Works-in-progress,Education,Education and life-long learning,"8,480","3,550",0,0,0,"12,030"
Athllon Drive Duplication,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Time,266,"1,500","3,033",0,0,"4,799"
Backing our Arts and Entertainment - Recognising significant women through public art,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Identity and belonging,20,180,0,0,0,200
Base BIF of the agency,Canberra Institute of Technology,Better Infrastructure Fund,Education,Education and life-long learning,"2,917","2,990","3,064","3,141","3,220","15,332"
Base BIF of the agency,Community Services Directorate,Better Infrastructure Fund,Community services,Social connection,511,448,459,470,482,"2,370"
Base BIF of the agency,Cultural Facilities Corporation,Better Infrastructure Fund,Community services,Social connection,439,450,461,473,497,"2,320"
Base BIF of the agency,Justice and Community Safety Directorate,Better Infrastructure Fund,Community services,Safety,0,-49,1,52,"2,207","2,211"
Belconnen Service Centre Modernisation,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Access and connectivity,"1,240",0,0,0,0,"1,240"
Better buses to support the new bus network,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,300,"19,510","17,700",0,0,"37,510"
Better care in the community - Expansion of palliative care services at Clare Holland House Hospice,ACT Health Directorate,Works-in-progress,Health services,Health,46,0,0,0,0,46
Better care when you need it  New medical imaging equipment,Canberra Health Services,Works-in-progress,Health services,Health,0,500,0,0,0,500
Better care when you need it - Protecting Canberrans from infectious diseases,ACT Health Directorate,Works-in-progress,Health services,Health,46,0,0,0,0,46
Better care when you need it - Training our future health workforce,Canberra Health Services,Works-in-progress,Health services,Health,0,"1,052",0,0,0,"1,052"
Better community infrastructure - Better local shops,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Urban infrastructure,Access and connectivity,"2,610","3,900","6,600","5,600",0,"18,710"
Better community infrastructure - Better play spaces and dog parks,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Urban infrastructure,Social connection,800,"1,700","1,500","1,300",0,"5,300"
Better community infrastructure - Improving local roads and community infrastructure,Transport Canberra and City Services Directorate,Works-in-progress,Urban roads,Access and connectivity,"1,530","5,651",0,0,0,"7,181"
Better community infrastructure - Tuggeranong Foreshore improvements,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Urban infrastructure,Access and connectivity,500,"1,400","2,900",0,0,"4,800"
Better community infrastructure - Yerrabi Pond District Park,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Urban infrastructure,Social connection,600,0,0,0,0,600
Better connecting Belconnen and Gungahlin (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Time,774,"9,000","10,000",0,0,"19,774"
Better connecting Belconnen and Gungahlin (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Time,"10,000","10,000",0,0,0,"20,000"
Better Customer Service - Improving Online Platforms,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"1,946","1,451",516,0,0,"3,913"
Better Government - ACT Property upgrades: Childcare centre upgrades,"Chief Minister, Treasury and Economic Development Directorate",Better Infrastructure Fund,Community services,Social connection,80,0,0,0,0,80
Better Government - Boosting government digital security,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,474,0,0,0,0,474
Better Government - Human Rights Commission digital capability,Justice and Community Safety Directorate,Works-in-progress,Community services,Governance and institution,58,20,0,0,0,78
Better Government - New Electoral Management System,Electoral Commissioner,Works-in-progress,Economic growth,Governance and institution,263,0,0,0,0,263
Better Government - New Jury Management System,Justice and Community Safety Directorate,Works-in-progress,Community services,Governance and institution,237,142,0,0,0,379
Better Health Services - Upgrading and maintaining ACT Health assets,Canberra Health Services,Works-in-progress,Health services,Health,"2,442","3,918",0,0,0,"6,360"
Better healthcare for a growing community  - ACT Pathology Laboratory information system replacement,ACT Health Directorate,Works-in-progress,Health services,Health,"3,701","1,506",0,0,0,"5,207"
